Rank_1990-2025,Rank_1954-1989,Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990-2025_total,Share of global arms imports,1954-1989_Total,Percentage change from 1954-1989 to 1990-2025
44,35,France,65,948,424,96,80,97,64,223,171,105,98,61,38,55,93,2,68,75,2,72,103,41,86,104,17,36,38,84,201,104,225,105,133,120,188,4423,0.50%,12764,-65%
45,57,Portugal,70,1012,19,350,453,20,9,2,16,3,3,19,,29,70,158,220,60,145,371,891,170,42,11,3,1,21,8,19,44,45,6,,67,61,4416,0.50%,4736,-6.80%
46,47,Jordan,16,24,,1,5,19,75,77,248,63,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,243,363,170,213,157,67,41,16,24,4394,0.50%,7425,-41%
47,,Azerbaijan,,,,50,25,,,,,,3,,89,,4,59,161,213,34,146,162,568,388,391,635,340,276,291,369,44,51,,20,3,28,4348,0.50%,,
48,48,Switzerland,438,474,386,102,118,93,187,377,431,502,18,63,60,117,203,168,83,108,15,36,42,28,6,2,5,10,71,1,,,,,15,33,,4193,0.50%,7162,-41%
49,45,South Africa,11,26,361,244,239,38,38,11,,21,6,18,,,,262,741,914,493,134,178,208,127,1,50,2,,,,,,,30,30,,4184,0.50%,7803,-46%
50,33,Romania,599,65,187,14,29,2,39,61,170,142,21,24,21,17,285,432,64,101,80,59,107,80,21,20,0,22,177,88,35,13,168,143,186,344,278,4095,0.50%,13672,-70%
51,68,Mexico,32,40,19,160,136,55,92,495,19,136,215,149,97,20,321,33,78,,23,59,109,225,260,52,89,322,327,215,16,,242,3,,4,46,4090,0.50%,2159,89%
52,,Kazakhstan,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,252,216,275,228,268,195,191,125,550,4003,0.40%,,
53,49,Denmark,128,154,72,51,88,134,75,77,116,70,50,146,40,50,232,116,84,133,97,134,22,6,103,34,176,42,103,53,53,48,63,261,210,274,427,3922,0.40%,7113,-45%
54,43,Sweden,94,55,60,46,307,106,98,196,294,224,206,165,74,66,47,78,121,51,52,15,,185,202,54,43,24,70,32,7,7,3,122,318,98,66,3582,0.40%,8279,-57%
55,66,Colombia,13,72,36,68,42,35,49,193,160,44,68,268,173,145,18,18,54,237,110,263,259,145,212,174,167,193,18,91,16,22,80,45,50,3,19,3560,0.40%,2766,29%
56,88,Bahrain,362,68,42,1,8,71,51,197,8,,299,28,54,1,10,66,63,27,21,,98,4,24,69,1,17,26,27,72,21,27,184,261,294,848,3349,0.40%,927,261%
57,37,Hungary,15,22,,928,2,1,156,99,88,152,14,14,,,72,13,253,196,5,4,18,8,,2,7,,14,5,27,16,55,19,39,245,604,3091,0.30%,11473,-73%
58,38,Peru,104,108,130,43,175,47,121,373,51,94,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0,28,62,38,22,4,3089,0.30%,9921,-69%
59,70,Philippines,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,191,350,331,280,125,238,2940,0.30%,2120,39%
60,32,Belgium,314,125,48,73,47,16,3,50,55,58,36,30,48,21,15,3,15,171,191,86,35,23,29,45,97,52,4,7,1,9,90,255,170,12,515,2746,0.30%,13789,-80%
61,75,New Zealand,23,42,54,36,16,7,7,309,15,305,,45,17,154,187,,6,81,3,56,78,28,30,26,84,89,,,6,3,146,36,171,405,200,2664,0.30%,1860,40%
62,52,Angola,140,,,123,113,1,44,7,150,360,149,157,148,48,8,38,7,35,29,20,,,,31,2,51,154,112,273,170,51,,46,15,16,2499,0.30%,6188,-60%
63,,Yemen,78,113,,,4,167,,,1,52,158,70,585,58,248,311,38,66,41,5,261,47,38,23,6,33,7,6,9,,,,1,,,2426,0.30%,,
64,73,Sudan,4,46,6,,,3,27,63,,36,,106,50,205,294,113,112,43,105,88,184,176,118,151,66,134,109,65,33,18,,,3,6,2,2366,0.30%,2051,15%
65,59,Nigeria,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,188,61,41,49,18,85,283,54,93,67,2050,0.20%,4233,-52%
66,99,Sri Lanka,19,168,22,37,77,64,207,48,83,62,289,159,43,34,48,57,96,91,79,21,5,21,,22,5,,,45,100,59,,54,3,5,9,2032,0.20%,445,356%
67,,Belarus,,,,,,,,,41,41,,,,,,6,140,,,3,,75,75,75,66,98,120,158,142,333,13,69,208,161,151,1976,0.20%,,
68,53,Ethiopia,2,80,,,,,,69,208,152,114,,20,174,239,,,,,,58,76,193,154,33,10,55,51,12,74,25,16,45,2,48,1909,0.20%,5796,-67%
69,39,Argentina,159,,27,,209,43,21,105,171,276,208,6,15,11,161,3,9,24,21,15,11,16,5,13,6,21,17,47,19,51,7,77,50,21,43,1887,0.20%,9892,-81%
70,,Russia,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,94,62,5,1,6,75,219,467,1852,0.20%,,
71,25,Bulgaria,755,339,42,1,1,1,122,,,7,,,,2,13,132,22,48,117,119,8,29,5,,,4,,,,2,44,1,3,,,1815,0.20%,17823,-90%
72,56,NATO**,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,120,1787,0.20%,4783,-63%
73,69,Austria,5,6,5,8,52,30,9,190,247,48,25,15,81,41,56,26,5,269,190,286,5,6,6,5,2,1,13,10,6,18,14,34,5,17,13,1748,0.20%,2126,-18%
74,20,North Korea,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,,1718,0.20%,19990,-91%
75,,Turkmenistan,,,,,,,,,,,,,,18,21,,,,7,36,28,237,112,69,72,169,433,108,,,,382,,,,1692,0.20%,,
76,,Czechia,,,,,,1,35,9,0,1,13,57,42,94,6,600,46,10,25,6,12,70,20,14,,0,,,7,1,8,32,69,148,50,1377,0.20%,,
77,104,Cyprus,82,94,26,10,37,34,171,98,7,113,4,180,66,6,16,18,22,16,,,44,41,6,,,,,30,,19,30,11,,,115,1294,0.10%,351,269%
78,,Serbia,,,4,2,2,8,1,14,7,1,1,27,,,,,,,1,,16,,0,,,,23,65,4,84,145,115,164,419,153,1252,0.10%,,
79,100,Uganda,,,,,,32,,,55,39,6,,33,,36,10,5,0,14,28,37,468,213,20,2,7,1,22,10,23,76,8,65,16,,1224,0.10%,396,209%
80,64,Ecuador,3,136,4,18,17,45,29,103,31,27,9,41,1,,,39,47,2,102,77,90,69,88,11,56,27,26,20,5,3,21,15,9,7,25,1202,0.10%,3154,-62%
81,78,Tunisia,4,20,32,,35,56,68,41,18,12,,,44,1,,168,2,,3,,7,7,,40,49,7,39,98,181,15,16,19,33,33,78,1125,0.10%,1368,-18%
82,,Armenia,,,,2,181,47,68,,,2,,,,,118,,,1,,46,52,5,,16,,,110,18,,248,,32,29,7,21,1004,0.10%,,
83,,Lithuania,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,,0,73,10,14,34,7,8,38,119,109,75,111,51,986,0.10%,,
84,,Slovakia,,,,146,29,208,29,,,,0,,29,,1,4,,0,0,10,9,,2,5,,,,47,34,15,25,1,3,30,298,922,0.10%,,
85,,Georgia,,,,4,,,,4,28,23,6,85,,1,38,95,97,161,132,38,,2,,5,1,,,7,41,6,,,2,0,17,795,0.10%,,
86,11,Soviet Union,655,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,0.10%,29178,-97%
87,86,Lebanon,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,53,56,45,43,30,14,9,753,0.10%,1005,-25%
88,,Croatia,,1,29,29,53,1,12,45,,,,57,2,24,8,,,20,103,4,10,18,18,,27,11,20,13,3,5,,,29,89,90,719,0.10%,,
89,,Eritrea,,,,21,20,7,43,53,212,31,20,57,18,17,80,99,,4,,,,,,,,,,,,,,,,,,682,0.10%,,
90,82,DR Congo,5,,2,,,0,61,6,10,46,89,11,18,,,26,24,,18,37,156,,15,1,,3,43,,1,,6,,,27,35,640,0.10%,1191,-46%
91,83,Kenya,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,6,18,71,4,1,,17,619,0.10%,1111,-44%
92,103,Brunei,4,4,,,,,17,31,7,4,,5,1,0,0,1,1,,,33,33,229,20,15,121,36,,,,,,0,,11,28,602,0.10%,354,70%
93,109,Senegal,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,172,77,577,0.10%,268,115%
94,85,Tanzania,,,18,,5,,4,,,,2,,1,51,,10,12,1,,29,,78,115,118,14,20,20,2,17,,8,52,,,,575,0.10%,1069,-46%
95,,Uzbekistan,,,,,,,,,,,,8,9,,,,,,,,30,,,,18,100,55,5,114,77,46,60,22,17,,562,0.10%,,
96,84,Cambodia,48,,,2,74,1,27,22,,,,,,,,,14,56,,4,34,,78,68,,,,,5,1,,35,32,54,,553,0.10%,1085,-49%
97,,Estonia,,,2,3,15,17,1,13,4,1,27,,2,14,11,26,4,18,28,42,13,1,2,18,2,18,32,36,19,20,25,20,18,25,63,539,0.10%,,
98,,Latvia,,,0,8,12,16,0,0,0,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,42,10,505,0.10%,,
99,107,Ireland,,11,,,41,,,,3,33,0,42,21,,27,5,13,26,32,,4,,,,40,43,43,2,5,35,9,,1,63,,498,0.10%,283,76%
100,93,Uruguay,39,63,25,18,11,12,4,19,27,9,4,,13,,,20,8,3,78,29,20,,,3,9,13,,,10,,25,3,7,,10,483,0.10%,569,-15%
